grievance_text,severity,severity_level
"please check, internet not running not resolved yet bhai",High,Low1
wifi down since morning,High,High2
"please check, dns not resolving not resolved yet bhai",Low,Low1
"please check, no connection not resolved yet yaar",High,High1
FACING BUFFERING ISSUE!!!,Low,Low1
router not working not resolved yet bhai,Low,High1
"please check, data loss problem again",Low,High1
"please check, no connection not resolved yet bhai",High,High1
no connection again since long time kya ho raha hai,High,High2
"please check, net not working pls fix yaar",High,High1
facing internet gone since long time bhai,High,Low1
"WIFI DOWN, WHAT IS THIS?!!!",High,High1
"please check, still ping too high bhai",Low,Low1
DATA LOSS ISSUE!!!,Low,Low1
no connection yaar,High,High1
speed is low pls fix since long time,Low,Low1
"please check, facing unstable connection kya ho raha hai",Low,Low1
disconnecting again and again again,Low,High1
"please check, no connection from last night",High,High1
wifi down not resolved yet kya ho raha hai,High,High1
UNSTABLE CONNECTION SINCE MORNING!!! bhai,Low,Low1
dns not resolving since morning since long time kya masla hai,Low,Low1
"router not working, what is this? since long time kya ho raha hai",Low,High2
having speed is low continuously since long time kya ho raha hai,Low,High1
"disconnecting again and again, what is this? kya masla hai",Low,High1
facing router not working since long time kya ho raha hai,Low,High2
having net not working continuously since long time bhai,High,High2
packet loss happening again,Low,High1
"net gone, what is this? bhai",High,Low1
internet very too slow from last night,Low,Low1
net slow since morning kya ho raha hai,Low,Low2
still internet not working kya masla hai,High,High1
router problem pls fix since long time kya ho raha hai,Low,Low1
"wifi gone, what is this? since long time",High,Low1
wifi gone pls fix since long time bhai,High,Low1
facing buffering trouble bhai,Low,Low1
connection not working pls fix,High,High1
"please check, lag trouble from last night bhai",Low,Low1
NO CONNECTION SINCE MORNING!!!,High,High3
still no connection since long time bhai,High,High2
"please check, facing no connection",High,High1
"wifi not working, what is this? since long time yaar",High,High2
"dns not resolving, what is this?",Low,Low1
internet not working pls fix since long time,High,High2
"wifi down, what is this? since long time yaar",High,High2
DELAY IN RESPONSE NOT RESOLVED YET!!!,Low,Low1
dns not resolving again,Low,High1
"please check, facing net slow yaar",Low,Low1
NET SLOW FROM LAST NIGHT!!! kya ho raha hai,Low,Low1
"please check, delay in response",Low,Low1
STILL DATA LOSS ISSUE!!!,Low,Low1
speed is low from last night bhai,Low,Low1
"router problem, what is this? bhai",Low,Low1
"please check, net slow since morning",Low,Low2
data loss problem again since long time,Low,High1
connection not working from last night since long time,High,High2
still router problem since long time kya ho raha hai,Low,Low1
"please check, still wifi down bhai",High,High1
"please check, no connection bhai",High,High1
internet gone again yaar,High,High1
"lag issue, what is this? since long time kya ho raha hai",Low,Low1
"please check, net not working from last night yaar",High,High1
"please check, disconnecting again and again from last night bhai",Low,High1
"NET SLOW, WHAT IS THIS?!!!",Low,Low1
connection gone yaar,High,Low1
delay in response since morning since long time bhai,Low,Low2
"please check, net not working pls fix kya ho raha hai",High,High1
"please check, no connection not resolved yet yaar",High,High1
"unstable connection, what is this? kya ho raha hai",Low,Low1
facing delay in response yaar,Low,Low1
data loss problem since morning kya ho raha hai,Low,Low1
router not functioning not resolved yet since long time bhai,Low,Low1
still net very slow kya ho raha hai,Low,Low1
packet loss happening pls fix since long time yaar,Low,Low1
"BUFFERING ISSUE, WHAT IS THIS?!!! kya masla hai",Low,Low1
"please check, unstable connection from last night bhai",Low,Low1
"please check, buffering problem from last night",Low,Low1
still no connection kya masla hai,High,High1
"please check, having wifi not working continuously yaar",High,High1
no connection not resolved yet,High,High1
having router not working continuously since long time bhai,Low,High2
data loss issue,Low,Low1
net too slow kya masla hai,Low,Low1
"please check, still speed is low bhai",Low,Low1
net too slow not resolved yet bhai,Low,Low1
having net lagging continuously kya ho raha hai,Low,High1
keeps dropping pls fix bhai,Low,Low1
unstable connection pls fix kya ho raha hai,Low,Low1
still buffering problem yaar,Low,Low1
data loss problem kya ho raha hai,Low,Low1
NO CONNECTION!!!,High,High1
delay in response since morning since long time,Low,Low2
"please check, facing speed is low bhai",Low,Low1
PACKET LOSS HAPPENING SINCE MORNING!!! bhai,Low,Low1
still cannot access sites,Low,Low1
still keeps dropping,Low,Low1
UNSTABLE CONNECTION AGAIN!!!,Low,High1
unstable connection not resolved yet yaar,Low,Low1
"data loss issue, what is this? since long time kya masla hai",Low,Low1
"internet not working, what is this?",High,High1
NO CONNECTION SINCE MORNING!!! bhai,High,High3
"please check, packet loss happening kya masla hai",Low,Low1
delay in response again since long time,Low,High1
"please check, facing disconnecting again and again kya masla hai",Low,High1
"please check, facing wifi down kya ho raha hai",High,High1
connection gone again bhai,High,High1
having keeps dropping continuously since long time,Low,High1
"please check, facing wifi gone yaar",High,Low1
"please check, wifi gone since morning kya masla hai",High,Low1
FACING WIFI DOWN!!! bhai,High,High1
"please check, having delay in response continuously",Low,High1
facing ping too high kya ho raha hai,Low,Low1
"please check, having data loss trouble continuously bhai",Low,High1
STILL DISCONNECTING AGAIN AND AGAIN!!! bhai,Low,High1
PACKET LOSS HAPPENING NOT RESOLVED YET!!!,Low,Low1
"wifi down, what is this? since long time",High,High2
speed is low pls fix since long time kya ho raha hai,Low,Low1
wifi down again kya masla hai,High,High1
BUFFERING ISSUE!!! yaar,Low,Low1
wifi down pls fix since long time,High,High2
"please check, having dns not resolving continuously kya ho raha hai",Low,High1
still router problem since long time,Low,Low1
"please check, still wifi not working kya masla hai",High,High1
"please check, still internet very slow bhai",Low,Low1
UNSTABLE CONNECTION PLS FIX!!! yaar,Low,Low1
NET SLOW PLS FIX!!!,Low,Low1
ping too high since morning yaar,Low,Low1
HAVING INTERNET NOT WORKING CONTINUOUSLY!!!,High,High1
"please check, unstable connection again kya ho raha hai",Low,High1
"please check, facing net too slow bhai",Low,Low1
"wifi GONE, WHAT IS THIS?!!! bhai",High,Low1
"net very slow, what is this? since long time",Low,Low2
"please check, wifi down pls fix yaar",High,High1
KEEPS DROPPING SINCE MORNING!!! bhai,Low,Low1
buffering issue since morning kya masla hai,Low,Low1
"please check, buffering issue",Low,Low1
connection GONE!!! yaar,High,Low1
facing internet not working since long time yaar,High,High2
DATA LOSS ISSUE!!! bhai,Low,Low1
"wifi down, what is this? since long time kya ho raha hai",High,High2
WIFI DOWN!!!,High,High1
"wifi gone, what is this?",High,Low1
wifi down since morning since long time kya ho raha hai,High,High2
DISCONNECTING AGAIN AND AGAIN NOT RESOLVED YET!!!,Low,High1
disconnecting again and again again kya ho raha hai,Low,High1
wifi down kya masla hai,High,High1
no connection again since long time yaar,High,High2
"please check, wifi not working again",High,High1
"UNSTABLE CONNECTION, WHAT IS THIS?!!! yaar",Low,Low1
"please check, still data loss problem bhai",Low,Low1
"please check, facing packet loss happening",Low,Low1
"please check, facing disconnecting again and again bhai",Low,High1
internet gone yaar,High,Low1
"please check, no connection again bhai",High,High1
"please check, net gone, what is this? bhai",High,Low1
having no connection continuously since long time yaar,High,High2
having dns not resolving continuously bhai,Low,High1
intrnet not functioning from last night since long time yaar,High,Low1
"please check, still internet not functioning bhai",High,Low1
net slow pls fix,Low,Low1
"please check, buffering issue again bhai",Low,High1
internet very slow not resolved yet since long time,Low,Low2
internet not working again,High,High1
"please check, internet very slow pls fix",Low,Low1
disconnecting again and again kya ho raha hai,Low,High1
FACING NO CONNECTION!!!,High,High1
connection NOT WORKING NOT RESOLVED YET!!! yaar,High,High1
DISCONNECTING AGAIN AND AGAIN FROM LAST NIGHT!!! kya ho raha hai,Low,High1
"please check, no connection again yaar",High,High1
NO CONNECTION SINCE MORNING!!! yaar,High,High3
"router not working, what is this? since long time bhai",Low,High2
wifi down from last night since long time kya ho raha hai,High,High2
disconnecting again and again again kya masla hai,Low,High1
facing connection gone since long time bhai,High,Low1
internet not functioning since morning kya ho raha hai,High,Low1
router problem again bhai,Low,High1
speed is low since morning yaar,Low,Low1
having speed is low continuously,Low,High1
still dns not resolving since long time kya ho raha hai,Low,Low1
internet gone since morning,High,Low1
"please check, facing delay in response",Low,Low1
"please check, having connection very slow continuously yaar",Low,High1
net gone from last night since long time yaar,High,Low1
unstable connection yaar,Low,Low1
CANNOT ACCESS SITES AGAIN!!! yaar,Low,High1
still no connection yaar,High,High1
dns not resolving not resolved yet,Low,Low1
facing router problem bhai,Low,Low1
FACING WIFI DOWN!!! yaar,High,High1
keeps dropping since morning bhai,Low,Low1
internet gone since morning yaar,High,Low1
"please check, internet very too slow pls fix",Low,Low1
STILL wifi NOT WORKING!!! bhai,High,High1
"please check, router not running again",Low,High1
"wifi down, what is this? yaar",High,High1
"please check, keeps dropping pls fix kya ho raha hai",Low,Low1
ROUTER PROBLEM PLS FIX!!!,Low,Low1
internet not working from last night,High,High1
internet not functioning since morning bhai,High,Low1
"net very slow, what is this?",Low,Low1
having router not running continuously since long time bhai,Low,High1
wifi gone again since long time yaar,High,High1
still internet not functioning bhai,High,Low1
facing ping too high,Low,Low1
connection gone since morning since long time,High,Low1
FACING NO CONNECTION!!! kya ho raha hai,High,High1
cannot access sites not resolved yet since long time kya ho raha hai,Low,Low1
no connection since morning since long time kya masla hai,High,High2
connection gone not resolved yet since long time,High,Low1
wifi down from last night kya ho raha hai,High,High1
intrnet gone bhai,High,Low1
"please check, facing internet gone yaar",High,Low1
facing no connection yaar,High,High1
facing delay in response,Low,Low1
"please check, no connection from last night",High,High1
"please check, buffering trouble kya ho raha hai",Low,Low1
wifi down from last night since long time bhai,High,High2
internet not functioning since morning since long time,High,Low1
"DATA LOSS ISSUE, WHAT IS THIS?!!!",Low,Low1
INTERNET NOT WORKING NOT RESOLVED YET!!!,High,High1
connection not working not resolved yet since long time kya masla hai,High,High2
FACING PACKET LOSS HAPPENING!!! yaar,Low,Low1
"please check, having wifi gone continuously bhai",High,High1
"please check, facing internet very too slow yaar",Low,Low1
"please check, facing wifi down",High,High1
internet not working again bhai,High,High1
no connection from last night since long time kya ho raha hai,High,High2
KEEPS DROPPING SINCE MORNING!!! yaar,Low,Low1
"please check, internet gone again",High,High1
KEEPS DROPPING FROM LAST NIGHT!!! bhai,Low,Low1
NO CONNECTION SINCE MORNING!!! kya ho raha hai,High,High3
having cannot access sites continuously since long time,Low,High1
having cannot access sites continuously kya ho raha hai,Low,High1
connection not working pls fix since long time,High,High2
"please check, still packet loss happening bhai",Low,Low1
having keeps dropping continuously since long time bhai,Low,High1
lag trouble pls fix yaar,Low,Low1
still connection very slow kya masla hai,Low,Low1
having wifi down continuously since long time kya ho raha hai,High,High2
"please check, having wifi gone continuously",High,High1
"please check, wifi down again",High,High1
wifi not working not resolved yet since long time bhai,High,High2
ping too high since morning,Low,Low1
buffering trouble pls fix since long time bhai,Low,Low1
"please check, still no connection",High,High1
"please check, facing buffering issue kya ho raha hai",Low,Low1
"cannot access sites, what is this?",Low,Low1
facing intrnet very very slow kya masla hai,Low,Low1
net not working since long time,High,High2
"please check, keeps dropping from last night bhai",Low,Low1
