grievance_text,predicted_probability,severity
still internet not functioning since long time bhai,0.99999845,High
intrnet very slow since long time kya ho raha hai,2.05E-06,Low
connection gone pls fix since long time bhai,0.99999857,High
lag issue pls fix,1.91E-06,Low
keeps dropping not resolved yet since long time,1.91E-06,Low
having speed is low continuously since long time bhai,1.96E-06,Low
having no connection continuously kya ho raha hai,0.99999845,High
still unstable connection kya ho raha hai,2.17E-06,Low
packet loss happening what is this yaar,1.91E-06,Low
please check internet very slow since morning kya ho raha hai,2.71E-06,Low
facing wifi gone yaar,0.99999857,High
please check keeps dropping pls fix yaar,2.02E-06,Low
please check lag issue not resolved yet,2.01E-06,Low
please check unstable connection pls fix bhai,2.37E-06,Low
still buffering trouble,1.99E-06,Low
facing lag issue bhai,1.97E-06,Low
delay in response not resolved yet kya ho raha hai,1.92E-06,Low
please check disconnecting again and again since morning bhai,2.01E-06,Low
connection very slow kya ho raha hai,2.14E-06,Low
having buffering trouble continuously since long time kya ho raha hai,1.96E-06,Low
speed is low not resolved yet,1.93E-06,Low
please check intrnet gone again yaar,0.99999845,High
still unstable connection kya ho raha hai,2.17E-06,Low
net gone pls fix since long time kya ho raha hai,0.99999857,High
still ping too high bhai,1.97E-06,Low
please check still ping too high bhai,2.06E-06,Low
still ping too high bhai,1.97E-06,Low
please check facing unstable connection,2.38E-06,Low
please check facing disconnecting again and again bhai,2.09E-06,Low
unstable connection since morning yaar,2.00E-06,Low
keeps dropping pls fix since long time kya ho raha hai,1.91E-06,Low
please check still wifi down,0.99999845,High
lag issue what is this since long time,1.90E-06,Low
please check having data loss problem continuously bhai,2.05E-06,Low
facing keeps dropping bhai,1.97E-06,Low
having internet very lagging continuously kya ho raha hai,2.77E-06,Low
keeps dropping not resolved yet since long time,1.91E-06,Low
please check disconnecting again and again bhai,2.01E-06,Low
still unstable connection since long time bhai,2.08E-06,Low
please check wifi down again kya ho raha hai,0.99999845,High
net slow kya ho raha hai,2.09E-06,Low
disconnecting again and again again since long time,1.89E-06,Low
facing ping too high since long time kya ho raha hai,1.96E-06,Low
keeps dropping,1.94E-06,Low
buffering issue pls fix,1.92E-06,Low
wifi gone pls fix bhai,0.99999857,High
speed is low from last night,1.92E-06,Low
facing no connection bhai,0.99999857,High
wifi very slow again since long time,2.79E-06,Low
still buffering issue bhai,1.98E-06,Low
having data loss problem continuously yaar,1.97E-06,Low
facing ping too high,1.96E-06,Low
please check packet loss happening not resolved yet kya masla hai,2.01E-06,Low
still disconnecting again and again since long time bhai,1.96E-06,Low
please check still packet loss happening kya ho raha hai,2.06E-06,Low
please check unstable connection not resolved yet,2.31E-06,Low
data loss issue from last night yaar,1.93E-06,Low
no connection from last night bhai,0.99999857,High
router not functioning from last night since long time kya ho raha hai,1.94E-06,Low
connection gone since long time kya ho raha hai,0.99999857,High
unstable connection from last night since long time bhai,1.99E-06,Low
facing keeps dropping since long time,1.95E-06,Low
no connection again bhai,0.99999857,High
please check dns not resolving again bhai,2.08E-06,Low
intrnet not working again kya ho raha hai,0.99999857,High
please check unstable connection pls fix bhai,2.37E-06,Low
please check still router not working,2.35E-06,Low
keeps dropping pls fix bhai,1.91E-06,Low
please check no connection from last night,0.99999845,High
please check cannot access sites from last night yaar,2.01E-06,Low
router problem what is this,1.91E-06,Low
speed is low since long time,1.92E-06,Low
having speed is low continuously bhai,1.96E-06,Low
wifi down since morning since long time kya ho raha hai,0.99999857,High
facing buffering issue since long time kya ho raha hai,1.96E-06,Low
please check net very slow since morning yaar,2.10E-06,Low
please check still wifi gone bhai,0.99999845,High
please check unstable connection pls fix kya masla hai,2.43E-06,Low
buffering trouble from last night kya ho raha hai,1.91E-06,Low
dns not resolving what is this,1.94E-06,Low
unstable connection,2.02E-06,Low
please check facing unstable connection yaar,2.44E-06,Low
having speed is low continuously since long time,1.96E-06,Low
net too slow since morning,2.01E-06,Low
router not functioning from last night bhai,1.94E-06,Low
please check delay in response pls fix yaar,2.01E-06,Low
still intrnet not working since long time kya ho raha hai,0.99999845,High
please check internet not working again kya masla hai,0.99999845,High
delay in response since morning since long time bhai,1.92E-06,Low
keeps dropping again bhai,1.92E-06,Low
delay in response what is this since long time kya ho raha hai,1.92E-06,Low
intrnet very lagging not resolved yet since long time kya ho raha hai,2.12E-06,Low
please check wifi down again bhai,0.99999845,High
please check still buffering issue yaar,2.09E-06,Low
still packet loss happening,1.98E-06,Low
having unstable connection continuously,2.06E-06,Low
please check still wifi gone,0.99999845,High
please check still buffering issue kya masla hai,2.09E-06,Low
still data loss problem since long time bhai,1.97E-06,Low
facing unstable connection kya ho raha hai,2.14E-06,Low
router not working since morning,1.97E-06,Low
net lagging since morning since long time,2.36E-06,Low
router not working from last night kya ho raha hai,1.97E-06,Low
facing wifi gone since long time,0.99999857,High
keeps dropping again bhai,1.92E-06,Low
having intrnet very too slow continuously yaar,2.03E-06,Low
please check still unstable connection yaar,2.45E-06,Low
data loss problem since morning yaar,1.93E-06,Low
speed is low since long time yaar,1.92E-06,Low
facing cannot access sites yaar,1.96E-06,Low
having delay in response continuously since long time kya ho raha hai,1.96E-06,Low
please check having buffering problem continuously bhai,2.07E-06,Low
still no connection since long time bhai,0.99999857,High
please check lag issue what is this kya ho raha hai,2.00E-06,Low
facing internet not running since long time,0.99999845,High
unstable connection again yaar,1.99E-06,Low
wifi not working not resolved yet bhai,0.99999857,High
please check no connection again kya ho raha hai,0.99999845,High
still speed is low bhai,1.98E-06,Low
please check buffering issue yaar,2.01E-06,Low
data loss problem again kya ho raha hai,1.93E-06,Low
disconnecting again and again from last night,1.90E-06,Low
having keeps dropping continuously kya masla hai,1.96E-06,Low
wifi gone what is this since long time yaar,0.99999857,High
unstable connection from last night bhai,1.99E-06,Low
router not working what is this bhai,1.95E-06,Low
keeps dropping since morning,1.92E-06,Low
please check ping too high not resolved yet kya masla hai,2.01E-06,Low
having router not running continuously asap,2.00E-06,Low
facing keeps dropping since long time bhai,1.95E-06,Low
net very slow not resolved yet kya ho raha hai,2.01E-06,Low
net slow pls fix bhai,2.08E-06,Low
having unstable connection continuously since long time kya ho raha hai,2.04E-06,Low
dns not resolving again yaar,1.94E-06,Low
please check wifi down yaar,0.99999845,High
please check keeps dropping what is this kya ho raha hai,2.01E-06,Low
please check lag trouble from last night bhai,2.01E-06,Low
please check packet loss happening from last night,2.00E-06,Low
still unstable connection since long time bhai,2.08E-06,Low
buffering issue what is this bhai,1.91E-06,Low
delay in response pls fix,1.92E-06,Low
please check still disconnecting again and again bhai,2.09E-06,Low
please check keeps dropping not resolved yet,2.02E-06,Low
still disconnecting again and again,1.96E-06,Low
disconnecting again and again since long time kya ho raha hai,1.90E-06,Low
router problem from last night bhai,1.91E-06,Low
please check wifi not working not resolved yet bhai,0.99999845,High
speed is low since long time,1.92E-06,Low
router problem since morning since long time kya ho raha hai,1.90E-06,Low
facing data loss problem since long time yaar,1.96E-06,Low
keeps dropping,1.94E-06,Low
please check delay in response what is this,2.00E-06,Low
internet not working again,0.99999857,High
disconnecting again and again from last night since long time kya ho raha hai,1.91E-06,Low
please check router not working again,2.19E-06,Low
please check facing wifi down,0.99999845,High
no connection from last night since long time,0.99999857,High
speed is low what is this kya ho raha hai,1.92E-06,Low
no connection pls fix bhai,0.99999857,High
please check cannot access sites pls fix,2.01E-06,Low
still ping too high kya ho raha hai,1.97E-06,Low
having unstable connection continuously kya ho raha hai,2.07E-06,Low
please check internet not functioning kya ho raha hai,0.99999845,High
internet not working again since long time yaar,0.99999857,High
internet very lagging since morning since long time bhai,2.90E-06,Low
facing packet loss happening since long time kya ho raha hai,1.96E-06,Low
please check keeps dropping from last night bhai,2.01E-06,Low
please check having unstable connection continuously kya ho raha hai,2.37E-06,Low
speed is low not resolved yet,1.93E-06,Low
please check facing data loss problem yaar,2.06E-06,Low
wifi gone since long time yaar,0.99999857,High
still wifi down since long time yaar,0.99999857,High
please check facing wifi down bhai,0.99999845,High
still unstable connection since long time,2.08E-06,Low
still cannot access sites bhai,1.97E-06,Low
facing keeps dropping since long time kya ho raha hai,1.96E-06,Low
still buffering issue,1.99E-06,Low
please check speed is low since morning kya ho raha hai,2.02E-06,Low
router not functioning from last night,1.94E-06,Low
facing net slow,2.10E-06,Low
facing delay in response kya ho raha hai,1.96E-06,Low
packet loss happening since morning kya masla hai,1.92E-06,Low
dns not resolving since morning,1.95E-06,Low
having internet very slow continuously kya ho raha hai,2.31E-06,Low
no connection from last night yaar,0.99999857,High
having lag trouble continuously since long time,1.96E-06,Low
speed is low what is this,1.92E-06,Low
still disconnecting again and again kya masla hai,1.96E-06,Low
please check wifi down since morning bhai,0.99999845,High
please check still no connection bhai,0.99999845,High
please check unstable connection what is this yaar,2.22E-06,Low
still net not working,0.99999845,High
please check lag issue not resolved yet bhai,2.01E-06,Low
having unstable connection continuously since long time kya ho raha hai,2.04E-06,Low
unstable connection from last night since long time,1.99E-06,Low
no connection pls fix since long time yaar,0.99999857,High
delay in response what is this yaar,1.92E-06,Low
disconnecting again and again what is this kya ho raha hai,1.90E-06,Low
facing disconnecting again and again bhai,1.95E-06,Low
